Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-July-2021,17.15,17.15,16.40,16.70,16.821609954915755886,203397,922,3421465.00,121813,59.89,0.75,-0.45
9-July-2021,17.00,17.20,16.65,16.95,16.860022631560527758,171442,796,2890516.00,82733,48.26,0.55,-0.05
8-July-2021,16.95,17.30,16.25,16.80,16.859689332245983310,258733,1109,4362158.00,131979,51.01,1.05,-0.15
7-July-2021,17.40,17.40,16.60,16.95,16.945112436143826278,243516,1186,4126406.00,147172,60.44,0.80,-0.45
6-July-2021,18.25,18.35,16.80,17.45,18.062095708033535668,847933,1894,15315447.00,458889,54.12,1.55,-0.80
5-July-2021,16.80,17.50,16.75,17.50,17.417508168058261777,809862,884,14105778.00,476698,58.86,0.75,0.70
2-July-2021,16.55,17.15,16.55,16.70,16.803402661825019858,246748,1143,4146206.00,165859,67.22,0.60,0.15
1-July-2021,17.80,18.20,16.50,16.55,17.019967742798503327,523294,1159,8906447.00,294574,56.29,1.70,-1.25
30-June-2021,15.71,17.35,15.71,17.35,16.688223198417740238,1555244,2191,25954259.00,779366,50.11,1.64,1.64
29-June-2021,16.53,16.53,16.53,16.53,16.529987610942990027,49237,295,813887.00,49237,100.00,0.00,0.00
28-June-2021,17.39,17.39,17.39,17.39,17.389985953895728331,36309,215,631413.00,36309,100.00,0.00,0.00
25-June-2021,18.30,18.30,18.30,18.30,18.299997775899648592,179848,634,3291218.00,176848,98.33,0.00,0.00
24-June-2021,20.50,20.83,19.26,19.26,19.758476069641220835,312114,1159,6166897.00,235153,75.34,1.57,-1.24
23-June-2021,21.91,21.91,19.83,20.27,20.679318978176054887,1373583,4075,28404761.00,911029,66.32,2.08,-1.64
22-June-2021,20.50,20.87,20.50,20.87,20.795058591123456389,431294,916,8968784.00,342205,79.34,0.37,0.37
21-June-2021,18.80,19.88,18.20,19.88,19.489169113778514385,594919,1466,11594477.00,438232,73.66,1.68,1.08
18-June-2021,18.70,19.04,17.24,18.94,18.359473673587300145,1585404,3677,29107183.00,900490,56.80,1.80,0.24
17-June-2021,17.70,18.14,16.64,18.14,17.971119084692979486,590840,1294,10618056.00,414827,70.21,1.50,0.44
16-June-2021,17.05,17.34,15.95,17.28,17.055157051095495392,1013651,2723,17287977.00,622437,61.41,1.39,0.23
15-June-2021,15.70,16.52,15.70,16.52,16.457898575469749284,237201,442,3903830.00,196930,83.02,0.82,0.82
14-June-2021,17.14,17.14,15.52,15.74,15.982633601624247697,1075698,2506,17192487.00,540830,50.28,1.62,-1.40
11-June-2021,16.33,16.33,14.86,16.33,15.881246340801667880,1400580,2579,22242956.00,913931,65.25,1.47,0.00
10-June-2021,15.30,15.56,15.21,15.56,15.489910993621613755,164932,272,2554782.00,152678,92.57,0.35,0.26
9-June-2021,14.80,14.82,14.20,14.82,14.680869222160495318,248406,440,3646816.00,199666,80.38,0.62,0.02
8-June-2021,13.00,13.48,12.61,13.48,13.323558782969177018,357493,689,4763079.00,222309,62.19,0.87,0.48
7-June-2021,11.50,12.26,11.34,12.26,12.088075815472197410,269813,609,3261520.00,204104,75.65,0.92,0.76
4-June-2021,11.54,11.57,10.89,11.15,11.151728394185955777,422907,1317,4716144.00,265595,62.80,0.68,-0.39
3-June-2021,11.50,11.60,10.90,11.35,11.310813245488680241,488438,1565,5524631.00,272331,55.76,0.70,-0.15
2-June-2021,10.45,11.32,10.31,11.29,11.042362557062819476,863522,1987,9535323.00,502930,58.24,1.01,0.84
1-June-2021,11.86,11.86,10.79,10.79,11.173250039961584895,769489,1735,8597693.00,494548,64.27,1.07,-1.07
31-May-2021,11.35,11.35,11.22,11.35,11.346081100505366045,702659,752,7972426.00,678014,96.49,0.13,0.00
28-May-2021,10.35,10.81,10.35,10.81,10.767075833564845276,820692,1633,8836453.00,516008,62.87,0.46,0.46
27-May-2021,9.95,10.30,9.95,10.30,10.232222878054539015,423550,1103,4333858.00,319912,75.53,0.35,0.35
26-May-2021,9.49,9.81,9.37,9.81,9.684982276663525822,222870,577,2158492.00,126180,56.62,0.44,0.32
25-May-2021,9.45,9.45,9.28,9.35,9.364329925017041581,183375,611,1717184.00,148957,81.23,0.17,-0.10
24-May-2021,9.50,9.50,9.30,9.36,9.364913820374924739,97993,638,917696.00,74068,75.58,0.20,-0.14
21-May-2021,9.59,9.59,9.25,9.31,9.394567346101908216,141441,698,1328777.00,91136,64.43,0.34,-0.28
20-May-2021,9.60,9.60,9.14,9.42,9.291063599544865011,125677,368,1167673.00,80858,64.34,0.46,-0.18
19-May-2021,9.49,9.50,9.22,9.38,9.415348058540800345,148136,645,1394752.00,97041,65.51,0.28,-0.11
18-May-2021,9.70,9.81,9.23,9.28,9.391411018470499062,150402,526,1412487.00,103142,68.58,0.58,-0.42
17-May-2021,9.57,9.60,9.29,9.58,9.392925146020294209,124469,530,1169128.00,84586,67.96,0.31,0.01
14-May-2021,9.20,9.50,8.95,9.15,9.285359917314039942,149965,339,1392479.00,91878,61.27,0.55,-0.05
12-May-2021,9.74,9.74,8.93,9.39,9.282783389450056116,289575,593,2688062.00,173948,60.07,0.81,-0.35
11-May-2021,9.00,9.38,8.90,9.38,9.290697016824544040,212190,527,1971393.00,180719,85.17,0.48,0.38
10-May-2021,8.50,8.94,8.50,8.94,8.867041400244611884,157801,371,1399228.00,130112,82.45,0.44,0.44
7-May-2021,8.35,8.59,8.35,8.52,8.486388072763643183,63988,223,543027.00,48264,75.43,0.24,0.17
6-May-2021,8.59,8.61,8.27,8.49,8.456279050464807436,48192,285,407525.00,29506,61.23,0.34,-0.10
5-May-2021,8.50,8.84,8.46,8.51,8.627209387605427209,54540,289,470528.00,40013,73.36,0.38,0.01
4-May-2021,8.91,8.91,8.55,8.59,8.735537091563651102,83887,277,732798.00,56659,67.54,0.36,-0.32
3-May-2021,8.80,8.95,8.74,8.84,8.829116228269773368,65922,204,582033.00,47657,72.29,0.21,0.04
30-April-2021,8.55,8.96,8.55,8.72,8.814141877535252076,82832,291,730093.00,60561,73.11,0.41,0.17
29-April-2021,8.75,8.86,8.64,8.81,8.778746706995804468,81992,264,719787.00,60785,74.14,0.22,0.06
28-April-2021,8.75,8.86,8.54,8.67,8.695656003382187147,56768,224,493635.00,43329,76.33,0.32,-0.08
27-April-2021,8.74,8.75,8.55,8.66,8.678211077105341099,50645,186,439508.00,36988,73.03,0.20,-0.08
26-April-2021,8.74,8.75,8.50,8.60,8.635679907288057424,84563,314,730259.00,62279,73.65,0.25,-0.14
23-April-2021,8.28,8.39,8.04,8.36,8.260847967348692336,74484,223,615301.00,42635,57.24,0.35,0.08
22-April-2021,7.99,8.25,7.95,8.01,8.072775766812726233,36743,166,296618.00,26079,70.98,0.30,0.02
20-April-2021,8.26,8.42,7.96,7.99,8.150699939135727328,98580,203,803496.00,73584,74.64,0.46,-0.27
19-April-2021,8.55,8.55,8.13,8.20,8.192353851773259353,57493,135,471003.00,43931,76.41,0.42,-0.35
16-April-2021,8.30,8.65,8.20,8.53,8.505622769055817038,63314,123,538525.00,38693,61.11,0.45,0.23
15-April-2021,8.75,8.86,8.29,8.30,8.399452938334791294,153182,484,1286645.00,115747,75.56,0.57,-0.45
13-April-2021,8.10,8.73,8.10,8.72,8.622505467984010860,66295,229,571629.00,44298,66.82,0.63,0.62
12-April-2021,8.63,8.90,8.29,8.32,8.452979796995850299,153987,468,1301649.00,110743,71.92,0.61,-0.31
9-April-2021,9.06,9.22,8.67,8.72,8.868186238365445238,93579,417,829876.00,66708,71.29,0.55,-0.34
8-April-2021,9.35,9.35,9.01,9.06,9.156547750941723908,27078,132,247941.00,18985,70.11,0.34,-0.29
7-April-2021,9.06,9.31,9.02,9.14,9.169365647865351233,45511,116,417307.00,28296,62.17,0.29,0.08
6-April-2021,9.39,9.56,9.19,9.24,9.345262653552843472,75137,245,702175.00,55387,73.71,0.37,-0.15
5-April-2021,9.50,9.56,9.11,9.31,9.370484760292618220,101019,295,946597.00,64851,64.20,0.45,-0.19
1-April-2021,9.18,9.32,8.96,9.32,9.269611352961393057,139664,255,1294631.00,115361,82.60,0.36,0.14
31-March-2021,9.01,9.12,8.80,8.88,8.956151486300645297,37812,142,338650.00,18324,48.46,0.32,-0.13
